v0, k0, x, y, yaw, km, kf, sf
0.6,-0.4,-2.0168,-3.9153,-1.5643,-0.5035,1.2743,7.2044
0.6,-0.4,-1.8124,-3.9344,-1.5872,-0.5106,1.2359,6.9694
0.6,-0.4,-1.6175,-4.0008,-1.509,-0.5145,1.2718,6.8012
0.6,-0.4,-1.4336,-3.9669,-1.5373,-0.5221,1.2785,6.5899
0.6,-0.4,-1.2488,-3.9232,-1.5849,-0.5359,1.2598,6.3529
0.6,-0.4,-1.0665,-3.9442,-1.5614,-0.5424,1.2258,6.1601
0.6,-0.4,-0.8794,-3.954,-1.5461,-0.5412,1.2298,6.0279
0.6,-0.4,-0.6252,-3.922,-1.6046,-0.5439,1.0716,5.7904
0.6,-0.4,-0.4819,-3.9539,-1.5391,-0.5465,1.0793,5.6608
0.6,-0.4,-0.2137,-3.9583,-1.5992,-0.5317,0.989,5.5584
0.6,-0.4,0.2059,-3.9414,-1.5793,-0.5143,0.8693,5.3306
0.6,-0.4,0.3698,-3.9379,-1.5103,-0.5131,0.7336,5.195
0.6,-0.4,0.5466,-3.973,-1.6082,-0.4846,0.7214,5.2255
0.6,-0.4,0.8141,-3.967,-1.5592,-0.4653,0.6581,5.1483
0.6,-0.4,0.9576,-3.9217,-1.5284,-0.4544,0.5565,5.0789
0.6,-0.4,1.1391,-3.9981,-1.5821,-0.4278,0.4963,5.1121
0.6,-0.4,1.395,-4.0055,-1.563,-0.3992,0.4186,5.1158
0.6,-0.4,1.5645,-4.0136,-1.4754,-0.3763,0.3275,5.1234
0.6,-0.4,1.8048,-3.9777,-1.53,-0.3495,0.2941,5.1608
0.6,-0.4,1.9933,-4.0221,-1.5225,-0.325,0.2169,5.1978
0.6,-0.4,2.1812,-3.9763,-1.5393,-0.3019,0.1352,5.2119
0.6,-0.4,2.3929,-3.9938,-1.5403,-0.2742,0.0657,5.3022
0.6,-0.4,2.5821,-4.007,-1.5508,-0.2509,-0.0083,5.3432
0.6,-0.4,2.8041,-4.0066,-1.5323,-0.2248,-0.0632,5.4388
0.6,-0.4,2.9867,-4.0049,-1.5448,-0.2027,-0.1261,5.507
0.6,-0.4,3.1731,-3.9931,-1.5586,-0.1801,-0.1881,5.6119
0.6,-0.4,3.3891,-3.9685,-1.5362,-0.1573,-0.2348,5.724
0.6,-0.4,3.5896,-4.0208,-1.5555,-0.1363,-0.286,5.8471
0.6,-0.4,3.7956,-3.983,-1.5397,-0.1161,-0.3311,5.966
0.6,-0.4,3.9688,-3.953,-1.5404,-0.0966,-0.3809,6.0971
0.6,-0.4,4.1636,-3.9845,-1.5743,-0.0806,-0.4187,6.1817
0.6,-0.4,4.4067,-4.0336,-1.4699,-0.0641,-0.4394,6.3069
0.6,-0.4,4.55,-4.0103,-1.4743,-0.0491,-0.4775,6.4091
0.6,-0.4,4.7847,-3.9737,-1.5394,-0.0313,-0.5125,6.63
0.6,-0.4,4.9698,-3.9941,-1.5685,-0.0182,-0.5341,6.7371
0.6,-0.4,5.1515,-3.9281,-1.544,-0.005,-0.5594,6.8622
0.6,-0.4,5.38,-4.0101,-1.5711,0.008,-0.5794,7.0544
0.6,-0.4,5.5584,-3.9408,-1.5371,0.0195,-0.5989,7.1877
0.6,-0.4,5.7717,-3.9378,-1.5158,0.0315,-0.6234,7.4059
0.6,-0.4,5.9786,-4.0102,-1.5778,0.0416,-0.6313,7.5284
0.6,-0.4,-1.9524,-3.8023,-1.477,-0.5233,1.4482,7.0518
0.6,-0.4,-1.4412,-3.7225,-1.5731,-0.5622,1.4161,6.3353
0.6,-0.4,-1.2463,-3.7755,-1.4967,-0.5798,1.2953,6.1194
0.6,-0.4,-1.0493,-3.7339,-1.6047,-0.5727,1.3512,5.9629
0.6,-0.4,-0.8547,-3.7597,-1.5537,-0.5764,1.3386,5.7818
0.6,-0.4,-0.6546,-3.773,-1.5298,-0.5822,1.26,5.5811
0.6,-0.4,-0.4811,-3.7429,-1.5699,-0.5759,1.2391,5.4899
0.6,-0.4,-0.2287,-3.7437,-1.6266,-0.5654,1.0724,5.3213
0.6,-0.4,0.2401,-3.7514,-1.5786,-0.5522,0.8032,5.0585
0.6,-0.4,0.373,-3.7958,-1.5793,-0.5364,0.6748,5.0039
0.6,-0.4,0.5331,-3.7667,-1.6086,-0.5136,0.7883,5.0156
0.6,-0.4,0.839,-3.8424,-1.5133,-0.4911,0.5833,4.9062
0.6,-0.4,0.9781,-3.7759,-1.6002,-0.4706,0.4668,4.8817
0.6,-0.4,1.171,-3.7785,-1.6519,-0.4458,0.4586,4.8929
0.6,-0.4,1.4317,-3.784,-1.6038,-0.4143,0.406,4.9143
0.6,-0.4,1.6248,-3.7897,-1.4976,-0.3774,0.259,4.9654
0.6,-0.4,1.827,-3.8367,-1.4864,-0.3631,0.303,4.9541
0.6,-0.4,2.0024,-3.7988,-1.5048,-0.3366,0.2271,5.006
0.6,-0.4,2.1855,-3.8313,-1.4996,-0.3123,0.1422,5.0222
0.6,-0.4,2.4071,-3.8384,-1.5135,-0.2814,0.0584,5.116
0.6,-0.4,2.5849,-3.7702,-1.5244,-0.2567,-0.0163,5.1685
0.6,-0.4,2.82,-3.8383,-1.5129,-0.228,-0.081,5.27
0.6,-0.4,2.9958,-3.835,-1.5254,-0.2048,-0.1453,5.3474
0.6,-0.4,3.1747,-3.8224,-1.5387,-0.1823,-0.207,5.4212
0.6,-0.4,3.3763,-3.7919,-1.5407,-0.1586,-0.2676,5.5352
0.6,-0.4,3.564,-3.7644,-1.5334,-0.1372,-0.3171,5.6481
0.6,-0.4,3.8057,-3.7883,-1.5205,-0.1139,-0.3595,5.7983
0.6,-0.4,3.9847,-3.8325,-1.5564,-0.0955,-0.4043,5.9093
0.6,-0.4,4.208,-3.7556,-1.5395,-0.0748,-0.4587,6.0619
0.6,-0.4,4.3907,-3.8029,-1.5392,-0.0591,-0.4803,6.1957
0.6,-0.4,4.5705,-3.8302,-1.5754,-0.0434,-0.516,6.3209
0.6,-0.4,4.7979,-3.8331,-1.5604,-0.027,-0.5353,6.4648
